字段2,字段3
"
洪都拉斯总统突访台 观察人士：顾邦交也顾自己
",台湾在拉丁美洲连续丢了巴拿马、多米尼加、萨尔瓦多三个邦交国，但当时美国跟中国还没有翻脸，不过，美中现在的关系已大不相同；更何况，就洪都拉斯总统大选的选情来看，执政党还不一定会输，反对党就算胜选... 宫国威认为，台湾部分友邦在大选期间，难免会有候选人就台湾的邦交关系提出检讨，甚至直接扬言要与中国建交，但这都是选举语言，重要的还是要看当选后的具体作为... 
"
拜习会周一晚登场 拜登将“坦率直接”提台湾、人权等议题
",而本次视讯会议也非实体面对面，但也能透过比讲电话更好的方式来沟通，加上近来中国国内政局发展，习近平集权力于一身，美中两国元首直接对话，对于负责任的管理美中双方竞争，是非常重要的... 资深官员强调，本次拜习会并未设立特定要达成的目标，所以包括象最近受到热议的中国发展核武、美国对中国商品的关税等议题，并没有预期将在本次双边会谈中达成任何具体成果... 
"
中国指责欧盟设置不公平贸易壁垒
",美欧协议旨在限制从包括中国在内的碳密集型生产商的进口... 欧盟还在制订新的调查机制，旨在揭露供应链中的侵犯劳工权利和破坏环境行为... 人权问题、香港民主等问题也影响了欧盟对中欧贸易关系的管控... 《中欧全面投资协定》去年12月达成，但今年3月，为回应西方国家就新疆维吾尔人权问题对中国的制裁，北京向10名欧盟政治人物及4个实体发出制裁措施... 
"
时事看台:中共六中全会巩固习近平权力，如何影响美中关系
","美国媒体关注中共六中全会历史性决议, 这份决议反映出中共党内的团结还是压力？习近平进一步巩固权力，中国未来的政治走向将如何影响美中关系？今天我们邀请到“公民力量”创办人.杨建利博士，和美国之音记者平章一起来关注这些话题。"
"
VOA连线：美中元首视频峰会 夏明: 如何从新冷战走出来还需考验两国领导人智慧
",美国总统拜登将于华盛顿时间11月15日晚间即北京时间11月16日上午，与中国国家主席习近平举行视频峰会。报道说，峰会将以视频方式举行，因为习近平近两年拒绝参加中国以外所有活动的邀请。美国国家安全顾问沙利文将视频会晤描述为拜登偏爱的面对面会谈的“次佳选择”。而鉴于美中关系目前缺乏共识和信任， 视频峰会将涉及哪些棘手问题，引发密切关注。
"
白宫降低对拜习会的期望值
",莎琪在上周五发布的一份声明中说：“两位领导人将讨论负责任地管理两国之间竞争的方式，以及在我们利益一致的情况下合作的方式... “在整个会晤过程中，拜登总统将表明美国的意图和优先事项，并明确和坦诚地表达我们对中国的关切，”莎琪说... 威尔逊中心的基辛格美中关系研究所所长戴博对美国之音说：“我们可以期待拜登总统说美国仍然遵守‘一个中国’的政策，习近平说美国一直在践踏这个政策... 
"
中共加强对网络业者管控 赴港上市须经网络安审批准
",管理条例（征求意见稿）中的第13条提出，数据处理者开展以下活动，应当按照国家有关规定，申报网路安全审查：一、汇聚掌握大量关系国家安全、经济发展、公共利益的资料资源的网路平台运营者实施合并、重组、分立，影响或者可能... 此前，滴滴出行在6月30日赴美上市的最后一刻，被中共当局强行叫停... 
"
VOA卫视-海峡论谈 拜习过招 谁能掌控台湾问题主导权？
",中共第十九届六中全会才刚落幕，“拜习会”随即登场。白宫发言人莎琪称这次美中领导人视讯峰会并非寻求达成特定成果，而是要为美中竞争设置规范；美国国务卿布林肯特别在会前先与中国外长王毅通话，强调台海和平的重要性，并敦促两岸对话；台湾驻美代表萧美琴則在回应美国之音提问时表示：“拜习会”是为了管控竞争，避免台海冲突。展望这场千呼万唤始出来的“拜习会”，究竟能否为台海情势降温、为美中关系破冰？拜登与习近平两人各自面临内政难题，究竟谁才能够牢牢地掌控台湾问题的的主导权与主动权呢？海峡论谈邀请台湾淡江大学国际事务与战略研究所黄介正教授与台湾师范大学政治学研究所范世平教授二位专家为大家展望拜习会与美中关系的走向。
"
东西方话语权之争，中国正在打一场逆风球
","（2021年11月4日）
今年5月31日，中共总书记习近平主持中共中央政治局国际传播能力建设集体学习时，就曾强调中国要形成跟现在中国综合国力和国际地位相匹配的国际话语权... 越来越高，甚至我也看到了它们有些涉台研究单位的人，现在可以去国外就用英语在谈两岸关系没有问题，过去老一辈的都用中文，现在他们也慢慢有那种中生代或年轻一辈，可以讲英文直接上场的，就是... "
"
拜习会前布林肯与王毅通话，敦促北京与台湾有意义对话
","台湾驻美代表：台湾与美国紧密沟通，充分信任美方
对于美中领导人在会议中将如何讨论台湾议题，台湾驻美代表萧美琴说，据她了解，拜习会是为了管控冲突，避免美中之间的竞争演变成冲突进而影响到台海和平... 美国之音又问萧美琴，近来台海安全引起各方关注，中共六中全会之后习近平权力更加巩固，如何看待一些人认为台湾可能是习近平一圆伟大复兴“中国梦”最后一块拼图的看法... "
"
中国驻美使馆加紧游说，试图阻止美议员出台针对中国的法案
",中国驻美大使馆最近几周加紧对美国商界团体和企业高管人员的游说活动，敦促他们做国会议员的工作，争取让美国会议员放弃或者修改那些对中国具有负面作用的议案... (资料照）中国驻美国大使馆... 中国使馆在11月发出的信函中说：“我们恳请您在敦促国会议员放弃零和思维和意识形态偏见，停止推动与中国相关的负面议案、或者删除负面条款方面发挥积极作用，从而在还来得及的时候为两国的... 
"
日外相林芳正走马上任，他“亲中”还是“知中”?
","日本外相林芳正11月11日表示辞去“日中友好议员联盟... 岛田洋一认为，林芳正的亲中态度甚至比被称为自民党亲中派代表的前干事长二阶俊博更为明显，他提出，林芳正在2020年2月针对习近平访日受到新冠病毒影响可能延期的发言，认为这是林芳正对中共立场软弱最好的证明... 美日中关系留下问号
林芳正曾留学美国，拥有哈佛大学肯尼迪政府学院硕士学位，曾任美国参议员威廉... "
"
华尔街日报：美国企业与资本助力中国芯片发展 美官员考虑封堵策略
",据《华尔街日报》报道，尽管美国政府对中国实施半导体技术出口管制，但美国科技公司和投资者在中国芯片产业的投资近年来翻倍... 美国官员正在考虑如何限制这一资金流动... 报道援引荣鼎集团的分析数据说，从2017年到2020年，美国风险投资公司、芯片技术公司和其他私人投资者参与了... 凯西在一份声明中说：“长期以来，公司利益优先考虑其底线，而不考虑更广泛的美国经济或我们的国家安全
"
中国对台灰带威胁激增，专家称美国海警队可助威慑
",他在工作组最近一场针对“美台关系新道路”的论坛中表示，美国的海军和海岸警卫队对于海洋安全有不同性质的任务，例如海军有维护主权的层面，而海警则是以搜救、救灾、保护天然资源及海上执法等... 专注于分析美国和国际海洋行动风险的布兰登·李说，美国与台湾已签署海巡合作备忘录，日本也和美、台举行过三方海警如何在东中国海协调合作的研讨会，今后华盛顿、东京与台北可以将这种合作扩大... 
"
拜习峰会下周一登场 两位元首谈什么？
",中国驻美国大使馆11月9日在其官网上发布消息，称习近平在信中表示，中美关系是当今世界最重要的双边关系之一... 当前，“中美关系正处于重要历史关口，两国合则两利、斗则俱伤，合作是唯一正确选择... “拜习峰会”期待已久，谈... “我估计双方不会有高调的宣言或联合声明，但是会着手设计一个缓和中美紧张关系的路线图，从一些比较具体的事项入手，逐步进行实质性接触和改善关系的工作，”马钊说... 
